id	package	surface	capability	parent	description
pi-agent-documented-contract-core-model-3bb3b681e0	agent	documented-contract	hooks		Documented contract: Core model (packages/agent/docs/hooks.md)
pi-agent-documented-contract-core-runtime-models-69fd09b807	agent	documented-contract	models		Documented contract: Core runtime: Models (packages/agent/docs/models.md)
pi-agent-documented-contract-credential-store-c80397989a	agent	documented-contract	models		Documented contract: Credential store (packages/agent/docs/models.md)
pi-agent-documented-contract-credentials-c3c169bff8	agent	documented-contract	models		Documented contract: Credentials (packages/agent/docs/models.md)
pi-agent-documented-contract-critical-scenarios-20597b9a85	agent	documented-contract	durable-harness		Documented contract: Critical scenarios (packages/agent/docs/durable-harness.md)
pi-agent-documented-contract-custom-message-types-07d2bc7abe	agent	documented-contract	README		Documented contract: Custom Message Types (packages/agent/README.md)
pi-agent-documented-contract-custom-providers-createprovider-a1448eaf7b	agent	documented-contract	models		Documented contract: Custom providers: createProvider() (packages/agent/docs/models.md)
pi-agent-documented-contract-default-implementation-internals-ef7762c6d7	agent	documented-contract	hooks		Documented contract: Default implementation internals (packages/agent/docs/hooks.md)
pi-agent-documented-contract-deferred-follow-ups-003993b97b	agent	documented-contract	models		Documented contract: Deferred / follow-ups (packages/agent/docs/models.md)
pi-agent-documented-contract-error-behavior-8fd93a107b	agent	documented-contract	models		Documented contract: Error behavior (packages/agent/docs/models.md)
pi-agent-documented-contract-error-handling-7bab6ff937	agent	documented-contract	agent-harness		Documented contract: Error handling (packages/agent/docs/agent-harness.md)
pi-agent-documented-contract-error-handling-cfe064ee77	agent	documented-contract	README		Documented contract: Error Handling (packages/agent/README.md)
pi-agent-documented-contract-event-flow-8882042d34	agent	documented-contract	README		Documented contract: Event Flow (packages/agent/README.md)
pi-agent-documented-contract-event-types-0575d883fa	agent	documented-contract	README		Documented contract: Event Types (packages/agent/README.md)
pi-agent-documented-contract-events-f62ba458b4	agent	documented-contract	README		Documented contract: Events (packages/agent/README.md)
pi-agent-documented-contract-extension-loading-later-76b3cee866	agent	documented-contract	hooks		Documented contract: Extension loading later (packages/agent/docs/hooks.md)
