id	package	surface	capability	parent	description
pi-agent-test-scenario-writes-the-header-on-create-9c1e076971	agent	test-scenario	harness		writes the header on create (packages/agent/test/harness/storage.test.ts:111)
pi-ai-documented-contract-1-core-types-src-types-ts-2806ba6bd8	ai	documented-contract	README		Documented contract: 1. Core Types (`src/types.ts`) (packages/ai/README.md)
pi-ai-documented-contract-2-api-implementation-src-api-api-id-ts-only-for--70fb435c8d	ai	documented-contract	README		Documented contract: 2. API Implementation (`src/api/<api-id>.ts`, only for a new API) (packages/ai/README.md)
pi-ai-documented-contract-3-model-generation-scripts-generate-models-ts-sc-e3803a1bc2	ai	documented-contract	README		Documented contract: 3. Model Generation (`scripts/generate-models.ts`, `scripts/generate-image-models.ts`) (packages/ai/README.md)
pi-ai-documented-contract-4-provider-factory-src-providers-id-ts-ebbb568e56	ai	documented-contract	README		Documented contract: 4. Provider Factory (`src/providers/<id>.ts`) (packages/ai/README.md)
pi-ai-documented-contract-5-tests-test-8e593018af	ai	documented-contract	README		Documented contract: 5. Tests (`test/`) (packages/ai/README.md)
pi-ai-documented-contract-6-coding-agent-integration-coding-agent-f52e1968c2	ai	documented-contract	README		Documented contract: 6. Coding Agent Integration (`../coding-agent/`) (packages/ai/README.md)
pi-ai-documented-contract-7-documentation-ed5a45a1e0	ai	documented-contract	README		Documented contract: 7. Documentation (packages/ai/README.md)
pi-ai-documented-contract-8-changelog-e875df1b3c	ai	documented-contract	README		Documented contract: 8. Changelog (packages/ai/README.md)
pi-ai-documented-contract-aborting-requests-a2c5a9c1f9	ai	documented-contract	README		Documented contract: Aborting Requests (packages/ai/README.md)
pi-ai-documented-contract-added-af56e8c0bd	ai	documented-contract	README		Documented contract: Added (packages/ai/README.md)
pi-ai-documented-contract-adding-a-new-provider-66287b3af3	ai	documented-contract	README		Documented contract: Adding a New Provider (packages/ai/README.md)
pi-ai-documented-contract-all-built-in-providers-f424a91469	ai	documented-contract	README		Documented contract: All Built-in Providers (packages/ai/README.md)
pi-ai-documented-contract-auth-34c5188862	ai	documented-contract	README		Documented contract: Auth (packages/ai/README.md)
pi-ai-documented-contract-basic-image-generation-24dd296b7e	ai	documented-contract	README		Documented contract: Basic Image Generation (packages/ai/README.md)
pi-ai-documented-contract-browser-usage-3b4cda6367	ai	documented-contract	README		Documented contract: Browser Usage (packages/ai/README.md)
pi-ai-documented-contract-bundling-and-tree-shaking-7d26371a93	ai	documented-contract	README		Documented contract: Bundling and Tree Shaking (packages/ai/README.md)
pi-ai-documented-contract-calling-api-implementations-directly-e232acee40	ai	documented-contract	README		Documented contract: Calling API Implementations Directly (packages/ai/README.md)
pi-ai-documented-contract-cli-login-0b96b481f9	ai	documented-contract	README		Documented contract: CLI Login (packages/ai/README.md)
pi-ai-documented-contract-complete-event-reference-85736e382e	ai	documented-contract	README		Documented contract: Complete Event Reference (packages/ai/README.md)
pi-ai-documented-contract-context-serialization-5833c3ca67	ai	documented-contract	README		Documented contract: Context Serialization (packages/ai/README.md)
pi-ai-documented-contract-continuing-after-abort-3ae217c0e7	ai	documented-contract	README		Documented contract: Continuing After Abort (packages/ai/README.md)
pi-ai-documented-contract-createprovider-a8dddda2bd	ai	documented-contract	README		Documented contract: createProvider() (packages/ai/README.md)
pi-ai-documented-contract-credential-store-44a1282b8a	ai	documented-contract	README		Documented contract: Credential Store (packages/ai/README.md)
pi-ai-documented-contract-cross-provider-handoffs-4349d09b86	ai	documented-contract	README		Documented contract: Cross-Provider Handoffs (packages/ai/README.md)
pi-ai-documented-contract-custom-providers-97258d7b53	ai	documented-contract	README		Documented contract: Custom Providers (packages/ai/README.md)
pi-ai-documented-contract-debugging-provider-payloads-f558a13c5e	ai	documented-contract	README		Documented contract: Debugging Provider Payloads (packages/ai/README.md)
pi-ai-documented-contract-defining-tools-3702da1ab3	ai	documented-contract	README		Documented contract: Defining Tools (packages/ai/README.md)
pi-ai-documented-contract-development-a4849a5da2	ai	documented-contract	README		Documented contract: Development (packages/ai/README.md)
pi-ai-documented-contract-dynamic-providers-ae5228f626	ai	documented-contract	README		Documented contract: Dynamic Providers (packages/ai/README.md)
pi-ai-documented-contract-environment-variables-e01a528bf8	ai	documented-contract	README		Documented contract: Environment Variables (packages/ai/README.md)
pi-ai-documented-contract-error-handling-eedc81048f	ai	documented-contract	README		Documented contract: Error Handling (packages/ai/README.md)
pi-ai-documented-contract-faux-provider-for-tests-1cbc3a1c09	ai	documented-contract	README		Documented contract: Faux Provider for Tests (packages/ai/README.md)
pi-ai-documented-contract-handling-tool-calls-e8a7ecb5c4	ai	documented-contract	README		Documented contract: Handling Tool Calls (packages/ai/README.md)
pi-ai-documented-contract-how-auth-resolves-c62d7a88bb	ai	documented-contract	README		Documented contract: How Auth Resolves (packages/ai/README.md)
pi-ai-documented-contract-image-generation-e3e4911c39	ai	documented-contract	README		Documented contract: Image Generation (packages/ai/README.md)
pi-ai-documented-contract-image-input-e644f10569	ai	documented-contract	README		Documented contract: Image Input (packages/ai/README.md)
pi-ai-documented-contract-installation-08c67c9af3	ai	documented-contract	README		Documented contract: Installation (packages/ai/README.md)
pi-ai-documented-contract-license-f96a300d5a	ai	documented-contract	README		Documented contract: License (packages/ai/README.md)
pi-ai-documented-contract-migrating-from-the-old-global-api-b97a70b1da	ai	documented-contract	README		Documented contract: Migrating from the Old Global API (packages/ai/README.md)
pi-ai-documented-contract-notes-and-limitations-3fa813de59	ai	documented-contract	README		Documented contract: Notes and Limitations (packages/ai/README.md)
pi-ai-documented-contract-oauth-providers-a72997f90c	ai	documented-contract	README		Documented contract: OAuth Providers (packages/ai/README.md)
pi-ai-documented-contract-openai-compatibility-settings-1342d752c0	ai	documented-contract	README		Documented contract: OpenAI Compatibility Settings (packages/ai/README.md)
pi-ai-documented-contract-programmatic-oauth-57b6de6760	ai	documented-contract	README		Documented contract: Programmatic OAuth (packages/ai/README.md)
pi-ai-documented-contract-provider-factories-1734ea522c	ai	documented-contract	README		Documented contract: Provider Factories (packages/ai/README.md)
pi-ai-documented-contract-provider-scoped-environment-overrides-3717f6799d	ai	documented-contract	README		Documented contract: Provider-Scoped Environment Overrides (packages/ai/README.md)
pi-ai-documented-contract-provider-specific-options-stream-complete-679c062f62	ai	documented-contract	README		Documented contract: Provider-Specific Options (stream/complete) (packages/ai/README.md)
pi-ai-documented-contract-providers-and-models-bfc86b2b4e	ai	documented-contract	README		Documented contract: Providers and Models (packages/ai/README.md)
pi-ai-documented-contract-querying-models-f68d68c6f2	ai	documented-contract	README		Documented contract: Querying Models (packages/ai/README.md)
pi-ai-documented-contract-quick-start-118d213198	ai	documented-contract	README		Documented contract: Quick Start (packages/ai/README.md)
pi-ai-documented-contract-static-catalog-reads-b5ebdff339	ai	documented-contract	README		Documented contract: Static Catalog Reads (packages/ai/README.md)
pi-ai-documented-contract-stop-reasons-904ed2ced9	ai	documented-contract	README		Documented contract: Stop Reasons (packages/ai/README.md)
pi-ai-documented-contract-streaming-thinking-content-c3d9644e81	ai	documented-contract	README		Documented contract: Streaming Thinking Content (packages/ai/README.md)
pi-ai-documented-contract-streaming-tool-calls-with-partial-json-46e6e9ca0a	ai	documented-contract	README		Documented contract: Streaming Tool Calls with Partial JSON (packages/ai/README.md)
pi-ai-documented-contract-supported-providers-5ffd92baea	ai	documented-contract	README		Documented contract: Supported Providers (packages/ai/README.md)
pi-ai-documented-contract-table-of-contents-16ad4cc521	ai	documented-contract	README		Documented contract: Table of Contents (packages/ai/README.md)
pi-ai-documented-contract-thinking-reasoning-aef5847c59	ai	documented-contract	README		Documented contract: Thinking/Reasoning (packages/ai/README.md)
pi-ai-documented-contract-tools-37a445d5f1	ai	documented-contract	README		Documented contract: Tools (packages/ai/README.md)
pi-ai-documented-contract-unified-interface-streamsimple-completesimple-e4b1e3f793	ai	documented-contract	README		Documented contract: Unified Interface (streamSimple/completeSimple) (packages/ai/README.md)
pi-ai-documented-contract-validating-tool-arguments-27239692ed	ai	documented-contract	README		Documented contract: Validating Tool Arguments (packages/ai/README.md)
pi-ai-documented-contract-vertex-ai-ab49e0f9db	ai	documented-contract	README		Documented contract: Vertex AI (packages/ai/README.md)
pi-ai-package-contract-package-executable-pi-ai-9be0b82459	ai	package-contract	package		package executable pi-ai (packages/ai/package.json)
pi-ai-package-contract-package-manifest-1565fc1a3c	ai	package-contract	package		package manifest (packages/ai/package.json)
pi-ai-package-contract-public-package-export-api-eca6c82a47	ai	package-contract	package		public package export ./api/* (packages/ai/package.json)
pi-ai-package-contract-public-package-export-bedrock-provider-13c2ae7c40	ai	package-contract	package		public package export ./bedrock-provider (packages/ai/package.json)
pi-ai-package-contract-public-package-export-c299a6c4dc	ai	package-contract	package		public package export . (packages/ai/package.json)
pi-ai-package-contract-public-package-export-compat-e12b961bd8	ai	package-contract	package		public package export ./compat (packages/ai/package.json)
pi-ai-package-contract-public-package-export-oauth-831a62388f	ai	package-contract	package		public package export ./oauth (packages/ai/package.json)
pi-ai-package-contract-public-package-export-providers-6a0e071323	ai	package-contract	package		public package export ./providers/* (packages/ai/package.json)
pi-ai-source-contract-abort-signals-ts-708e1546b8	ai	source-contract	utils		Contract carried by packages/ai/src/utils/abort-signals.ts
pi-ai-source-contract-all-ts-9556209014	ai	source-contract	providers		Contract carried by packages/ai/src/providers/all.ts
pi-ai-source-contract-amazon-bedrock-models-ts-917d0daa8d	ai	source-contract	providers		Contract carried by packages/ai/src/providers/amazon-bedrock.models.ts
pi-ai-source-contract-amazon-bedrock-ts-273a352677	ai	source-contract	providers		Contract carried by packages/ai/src/providers/amazon-bedrock.ts
pi-ai-source-contract-ant-ling-models-ts-aafae953b8	ai	source-contract	providers		Contract carried by packages/ai/src/providers/ant-ling.models.ts
pi-ai-source-contract-ant-ling-ts-6ab7e61f78	ai	source-contract	providers		Contract carried by packages/ai/src/providers/ant-ling.ts
pi-ai-source-contract-anthropic-messages-lazy-ts-69bfa28f94	ai	source-contract	api		Contract carried by packages/ai/src/api/anthropic-messages.lazy.ts
pi-ai-source-contract-anthropic-messages-ts-3c2b41779b	ai	source-contract	api		Contract carried by packages/ai/src/api/anthropic-messages.ts
pi-ai-source-contract-anthropic-models-ts-3f4611e462	ai	source-contract	providers		Contract carried by packages/ai/src/providers/anthropic.models.ts
pi-ai-source-contract-anthropic-ts-141b966604	ai	source-contract	utils		Contract carried by packages/ai/src/utils/oauth/anthropic.ts
pi-ai-source-contract-anthropic-ts-981cbb3dc0	ai	source-contract	providers		Contract carried by packages/ai/src/providers/anthropic.ts
pi-ai-source-contract-azure-openai-responses-lazy-ts-d421b60122	ai	source-contract	api		Contract carried by packages/ai/src/api/azure-openai-responses.lazy.ts
pi-ai-source-contract-azure-openai-responses-models-ts-8506932852	ai	source-contract	providers		Contract carried by packages/ai/src/providers/azure-openai-responses.models.ts
pi-ai-source-contract-azure-openai-responses-ts-0935357582	ai	source-contract	api		Contract carried by packages/ai/src/api/azure-openai-responses.ts
pi-ai-source-contract-azure-openai-responses-ts-0a14257ebf	ai	source-contract	providers		Contract carried by packages/ai/src/providers/azure-openai-responses.ts
pi-ai-source-contract-bedrock-converse-stream-lazy-ts-41fb48531f	ai	source-contract	api		Contract carried by packages/ai/src/api/bedrock-converse-stream.lazy.ts
pi-ai-source-contract-bedrock-converse-stream-ts-466fe7bf4a	ai	source-contract	api		Contract carried by packages/ai/src/api/bedrock-converse-stream.ts
pi-ai-source-contract-bedrock-provider-d-ts-c3450094b8	ai	source-contract	bedrock-provider.d		Contract carried by packages/ai/bedrock-provider.d.ts
pi-ai-source-contract-bedrock-provider-ts-7550e9169a	ai	source-contract	bedrock-provider		Contract carried by packages/ai/src/bedrock-provider.ts
pi-ai-source-contract-cerebras-models-ts-c8d71840de	ai	source-contract	providers		Contract carried by packages/ai/src/providers/cerebras.models.ts
pi-ai-source-contract-cerebras-ts-8d88dbd54b	ai	source-contract	providers		Contract carried by packages/ai/src/providers/cerebras.ts
pi-ai-source-contract-cli-ts-e25b579ec9	ai	source-contract	cli		Contract carried by packages/ai/src/cli.ts
pi-ai-source-contract-cloudflare-ai-gateway-models-ts-c965d1281d	ai	source-contract	providers		Contract carried by packages/ai/src/providers/cloudflare-ai-gateway.models.ts
pi-ai-source-contract-cloudflare-ai-gateway-ts-d35838fa87	ai	source-contract	providers		Contract carried by packages/ai/src/providers/cloudflare-ai-gateway.ts
pi-ai-source-contract-cloudflare-auth-ts-1819c505d7	ai	source-contract	providers		Contract carried by packages/ai/src/providers/cloudflare-auth.ts
pi-ai-source-contract-cloudflare-ts-707f626577	ai	source-contract	api		Contract carried by packages/ai/src/api/cloudflare.ts
pi-ai-source-contract-cloudflare-workers-ai-models-ts-4aed31ee47	ai	source-contract	providers		Contract carried by packages/ai/src/providers/cloudflare-workers-ai.models.ts
pi-ai-source-contract-cloudflare-workers-ai-ts-637dc578be	ai	source-contract	providers		Contract carried by packages/ai/src/providers/cloudflare-workers-ai.ts
pi-ai-source-contract-compat-ts-1a14c4ce14	ai	source-contract	compat		Contract carried by packages/ai/src/compat.ts
pi-ai-source-contract-context-ts-4e1bb25d13	ai	source-contract	auth		Contract carried by packages/ai/src/auth/context.ts
pi-ai-source-contract-credential-store-ts-2b28e18409	ai	source-contract	auth		Contract carried by packages/ai/src/auth/credential-store.ts
pi-ai-source-contract-deepseek-models-ts-f42c648eec	ai	source-contract	providers		Contract carried by packages/ai/src/providers/deepseek.models.ts
pi-ai-source-contract-deepseek-ts-9fc52131b8	ai	source-contract	providers		Contract carried by packages/ai/src/providers/deepseek.ts
pi-ai-source-contract-device-code-ts-2ce4fe1bd0	ai	source-contract	utils		Contract carried by packages/ai/src/utils/oauth/device-code.ts
pi-ai-source-contract-diagnostics-ts-d887591a98	ai	source-contract	utils		Contract carried by packages/ai/src/utils/diagnostics.ts
pi-ai-source-contract-env-api-keys-ts-651701e618	ai	source-contract	env-api-keys		Contract carried by packages/ai/src/env-api-keys.ts
pi-ai-source-contract-error-body-ts-702e3af366	ai	source-contract	utils		Contract carried by packages/ai/src/utils/error-body.ts
pi-ai-source-contract-estimate-ts-93d14b76ac	ai	source-contract	utils		Contract carried by packages/ai/src/utils/estimate.ts
pi-ai-source-contract-event-stream-ts-e8ee040f3a	ai	source-contract	utils		Contract carried by packages/ai/src/utils/event-stream.ts
pi-ai-source-contract-faux-ts-21bb2431e9	ai	source-contract	providers		Contract carried by packages/ai/src/providers/faux.ts
pi-ai-source-contract-fireworks-models-ts-588d374bee	ai	source-contract	providers		Contract carried by packages/ai/src/providers/fireworks.models.ts
pi-ai-source-contract-fireworks-ts-147d93578b	ai	source-contract	providers		Contract carried by packages/ai/src/providers/fireworks.ts
pi-ai-source-contract-github-copilot-headers-ts-25d0370e73	ai	source-contract	api		Contract carried by packages/ai/src/api/github-copilot-headers.ts
pi-ai-source-contract-github-copilot-models-ts-845769d834	ai	source-contract	providers		Contract carried by packages/ai/src/providers/github-copilot.models.ts
pi-ai-source-contract-github-copilot-ts-08766d9fdd	ai	source-contract	providers		Contract carried by packages/ai/src/providers/github-copilot.ts
pi-ai-source-contract-github-copilot-ts-a4eeec0fc9	ai	source-contract	utils		Contract carried by packages/ai/src/utils/oauth/github-copilot.ts
pi-ai-source-contract-google-generative-ai-lazy-ts-591c290a89	ai	source-contract	api		Contract carried by packages/ai/src/api/google-generative-ai.lazy.ts
pi-ai-source-contract-google-generative-ai-ts-79838b006f	ai	source-contract	api		Contract carried by packages/ai/src/api/google-generative-ai.ts
pi-ai-source-contract-google-models-ts-42c15aefb6	ai	source-contract	providers		Contract carried by packages/ai/src/providers/google.models.ts
pi-ai-source-contract-google-shared-ts-82c3b00b0a	ai	source-contract	api		Contract carried by packages/ai/src/api/google-shared.ts
pi-ai-source-contract-google-ts-6b9c05a037	ai	source-contract	providers		Contract carried by packages/ai/src/providers/google.ts
pi-ai-source-contract-google-vertex-lazy-ts-5fbb4dffbd	ai	source-contract	api		Contract carried by packages/ai/src/api/google-vertex.lazy.ts
pi-ai-source-contract-google-vertex-models-ts-54d6ee3a51	ai	source-contract	providers		Contract carried by packages/ai/src/providers/google-vertex.models.ts
pi-ai-source-contract-google-vertex-ts-4b15bb5778	ai	source-contract	api		Contract carried by packages/ai/src/api/google-vertex.ts
pi-ai-source-contract-google-vertex-ts-a4f6feeadd	ai	source-contract	providers		Contract carried by packages/ai/src/providers/google-vertex.ts
pi-ai-source-contract-groq-models-ts-31c4b69a83	ai	source-contract	providers		Contract carried by packages/ai/src/providers/groq.models.ts
pi-ai-source-contract-groq-ts-1c73172419	ai	source-contract	providers		Contract carried by packages/ai/src/providers/groq.ts
pi-ai-source-contract-hash-ts-75562a1e08	ai	source-contract	utils		Contract carried by packages/ai/src/utils/hash.ts
pi-ai-source-contract-headers-ts-b15725935b	ai	source-contract	utils		Contract carried by packages/ai/src/utils/headers.ts
pi-ai-source-contract-helpers-ts-542c904cdb	ai	source-contract	auth		Contract carried by packages/ai/src/auth/helpers.ts
pi-ai-source-contract-huggingface-models-ts-da7e2a2c73	ai	source-contract	providers		Contract carried by packages/ai/src/providers/huggingface.models.ts
pi-ai-source-contract-huggingface-ts-f06f111667	ai	source-contract	providers		Contract carried by packages/ai/src/providers/huggingface.ts
pi-ai-source-contract-image-models-generated-ts-bc813c3c8f	ai	source-contract	image-models.generated		Contract carried by packages/ai/src/image-models.generated.ts
pi-ai-source-contract-image-models-ts-d6f4eee013	ai	source-contract	image-models		Contract carried by packages/ai/src/image-models.ts
pi-ai-source-contract-images-api-registry-ts-186f49e087	ai	source-contract	images-api-registry		Contract carried by packages/ai/src/images-api-registry.ts
pi-ai-source-contract-images-models-ts-aa1b0379fc	ai	source-contract	images-models		Contract carried by packages/ai/src/images-models.ts
pi-ai-source-contract-images-ts-28523ff202	ai	source-contract	images		Contract carried by packages/ai/src/images.ts
pi-ai-source-contract-index-ts-4a22403929	ai	source-contract	index		Contract carried by packages/ai/src/index.ts
pi-ai-source-contract-index-ts-a0231bc9c0	ai	source-contract	utils		Contract carried by packages/ai/src/utils/oauth/index.ts
pi-ai-source-contract-json-parse-ts-deee0225d3	ai	source-contract	utils		Contract carried by packages/ai/src/utils/json-parse.ts
pi-ai-source-contract-kimi-coding-models-ts-f44ec6c608	ai	source-contract	providers		Contract carried by packages/ai/src/providers/kimi-coding.models.ts
pi-ai-source-contract-kimi-coding-ts-7d59d21518	ai	source-contract	providers		Contract carried by packages/ai/src/providers/kimi-coding.ts
pi-ai-source-contract-lazy-ts-ca38eb15cd	ai	source-contract	api		Contract carried by packages/ai/src/api/lazy.ts
pi-ai-source-contract-legacy-api-aliases-ts-adf8500510	ai	source-contract	legacy-api-aliases		Contract carried by packages/ai/src/legacy-api-aliases.ts
pi-ai-source-contract-load-ts-92a98e452b	ai	source-contract	utils		Contract carried by packages/ai/src/utils/oauth/load.ts
pi-ai-source-contract-minimax-cn-models-ts-45c098a6f9	ai	source-contract	providers		Contract carried by packages/ai/src/providers/minimax-cn.models.ts
pi-ai-source-contract-minimax-cn-ts-b299e5f732	ai	source-contract	providers		Contract carried by packages/ai/src/providers/minimax-cn.ts
pi-ai-source-contract-minimax-models-ts-82983f8fff	ai	source-contract	providers		Contract carried by packages/ai/src/providers/minimax.models.ts
pi-ai-source-contract-minimax-ts-4811dec7c0	ai	source-contract	providers		Contract carried by packages/ai/src/providers/minimax.ts
pi-ai-source-contract-mistral-conversations-lazy-ts-3c40c6e081	ai	source-contract	api		Contract carried by packages/ai/src/api/mistral-conversations.lazy.ts
pi-ai-source-contract-mistral-conversations-ts-aa36a1cf49	ai	source-contract	api		Contract carried by packages/ai/src/api/mistral-conversations.ts
pi-ai-source-contract-mistral-models-ts-b4bd7938ef	ai	source-contract	providers		Contract carried by packages/ai/src/providers/mistral.models.ts
pi-ai-source-contract-mistral-ts-cbd15821a2	ai	source-contract	providers		Contract carried by packages/ai/src/providers/mistral.ts
pi-ai-source-contract-models-generated-ts-5c8067fe5d	ai	source-contract	models.generated		Contract carried by packages/ai/src/models.generated.ts
pi-ai-source-contract-models-ts-c1f38af216	ai	source-contract	models		Contract carried by packages/ai/src/models.ts
pi-ai-source-contract-moonshotai-cn-models-ts-feb73226d3	ai	source-contract	providers		Contract carried by packages/ai/src/providers/moonshotai-cn.models.ts
pi-ai-source-contract-moonshotai-cn-ts-58bd983b27	ai	source-contract	providers		Contract carried by packages/ai/src/providers/moonshotai-cn.ts
pi-ai-source-contract-moonshotai-models-ts-2d638243f3	ai	source-contract	providers		Contract carried by packages/ai/src/providers/moonshotai.models.ts
pi-ai-source-contract-moonshotai-ts-3b7269c7b4	ai	source-contract	providers		Contract carried by packages/ai/src/providers/moonshotai.ts
pi-ai-source-contract-node-http-proxy-ts-e6081d9d7d	ai	source-contract	utils		Contract carried by packages/ai/src/utils/node-http-proxy.ts
pi-ai-source-contract-nvidia-models-ts-e6da01d2fa	ai	source-contract	providers		Contract carried by packages/ai/src/providers/nvidia.models.ts
pi-ai-source-contract-nvidia-ts-80594cd8e3	ai	source-contract	providers		Contract carried by packages/ai/src/providers/nvidia.ts
pi-ai-source-contract-oauth-page-ts-2f735dcd15	ai	source-contract	utils		Contract carried by packages/ai/src/utils/oauth/oauth-page.ts
pi-ai-source-contract-oauth-ts-c7928794f2	ai	source-contract	oauth		Contract carried by packages/ai/src/oauth.ts
pi-ai-source-contract-openai-codex-models-ts-cc7e087639	ai	source-contract	providers		Contract carried by packages/ai/src/providers/openai-codex.models.ts
pi-ai-source-contract-openai-codex-responses-lazy-ts-b91dfc584c	ai	source-contract	api		Contract carried by packages/ai/src/api/openai-codex-responses.lazy.ts
pi-ai-source-contract-openai-codex-responses-ts-f28d33ca8a	ai	source-contract	api		Contract carried by packages/ai/src/api/openai-codex-responses.ts
pi-ai-source-contract-openai-codex-ts-01b692f8a2	ai	source-contract	providers		Contract carried by packages/ai/src/providers/openai-codex.ts
pi-ai-source-contract-openai-codex-ts-a1c19c8730	ai	source-contract	utils		Contract carried by packages/ai/src/utils/oauth/openai-codex.ts
pi-ai-source-contract-openai-completions-lazy-ts-895d5fbf7f	ai	source-contract	api		Contract carried by packages/ai/src/api/openai-completions.lazy.ts
pi-ai-source-contract-openai-completions-ts-4f4ef2fe0a	ai	source-contract	api		Contract carried by packages/ai/src/api/openai-completions.ts
pi-ai-source-contract-openai-models-ts-acfec67bae	ai	source-contract	providers		Contract carried by packages/ai/src/providers/openai.models.ts
pi-ai-source-contract-openai-prompt-cache-ts-8a197b8b40	ai	source-contract	api		Contract carried by packages/ai/src/api/openai-prompt-cache.ts
pi-ai-source-contract-openai-responses-lazy-ts-e2498b209d	ai	source-contract	api		Contract carried by packages/ai/src/api/openai-responses.lazy.ts
pi-ai-source-contract-openai-responses-shared-ts-380b2511ac	ai	source-contract	api		Contract carried by packages/ai/src/api/openai-responses-shared.ts
pi-ai-source-contract-openai-responses-ts-d11834bc92	ai	source-contract	api		Contract carried by packages/ai/src/api/openai-responses.ts
pi-ai-source-contract-openai-ts-e247afed8e	ai	source-contract	providers		Contract carried by packages/ai/src/providers/openai.ts
pi-ai-source-contract-opencode-go-models-ts-35de8b53d9	ai	source-contract	providers		Contract carried by packages/ai/src/providers/opencode-go.models.ts
pi-ai-source-contract-opencode-go-ts-98e73762d3	ai	source-contract	providers		Contract carried by packages/ai/src/providers/opencode-go.ts
pi-ai-source-contract-opencode-models-ts-7eca2b5aa2	ai	source-contract	providers		Contract carried by packages/ai/src/providers/opencode.models.ts
pi-ai-source-contract-opencode-ts-1516d1b58c	ai	source-contract	providers		Contract carried by packages/ai/src/providers/opencode.ts
pi-ai-source-contract-openrouter-images-lazy-ts-c1dad05ea5	ai	source-contract	api		Contract carried by packages/ai/src/api/openrouter-images.lazy.ts
pi-ai-source-contract-openrouter-images-ts-818918e596	ai	source-contract	api		Contract carried by packages/ai/src/api/openrouter-images.ts
pi-ai-source-contract-openrouter-images-ts-9f835e67bf	ai	source-contract	providers		Contract carried by packages/ai/src/providers/openrouter-images.ts
pi-ai-source-contract-openrouter-models-ts-1354e041bb	ai	source-contract	providers		Contract carried by packages/ai/src/providers/openrouter.models.ts
pi-ai-source-contract-openrouter-ts-fdf08f3f05	ai	source-contract	providers		Contract carried by packages/ai/src/providers/openrouter.ts
pi-ai-source-contract-overflow-ts-5a4bf8674e	ai	source-contract	utils		Contract carried by packages/ai/src/utils/overflow.ts
pi-ai-source-contract-pkce-ts-71e9854501	ai	source-contract	utils		Contract carried by packages/ai/src/utils/oauth/pkce.ts
pi-ai-source-contract-provider-env-ts-9ba9e5acb6	ai	source-contract	utils		Contract carried by packages/ai/src/utils/provider-env.ts
pi-ai-source-contract-register-builtins-ts-fed8b38b5a	ai	source-contract	providers		Contract carried by packages/ai/src/providers/images/register-builtins.ts
pi-ai-source-contract-resolve-ts-61acb6028f	ai	source-contract	auth		Contract carried by packages/ai/src/auth/resolve.ts
pi-ai-source-contract-retry-ts-85ea80ddf5	ai	source-contract	utils		Contract carried by packages/ai/src/utils/retry.ts
pi-ai-source-contract-sanitize-unicode-ts-659bec1ff1	ai	source-contract	utils		Contract carried by packages/ai/src/utils/sanitize-unicode.ts
pi-ai-source-contract-session-resources-ts-e0e8bc8a6c	ai	source-contract	session-resources		Contract carried by packages/ai/src/session-resources.ts
pi-ai-source-contract-simple-options-ts-6ebd421012	ai	source-contract	api		Contract carried by packages/ai/src/api/simple-options.ts
pi-ai-source-contract-together-models-ts-d5a56223a4	ai	source-contract	providers		Contract carried by packages/ai/src/providers/together.models.ts
pi-ai-source-contract-together-ts-bd640677ad	ai	source-contract	providers		Contract carried by packages/ai/src/providers/together.ts
pi-ai-source-contract-transform-messages-ts-f0a1659ce6	ai	source-contract	api		Contract carried by packages/ai/src/api/transform-messages.ts
pi-ai-source-contract-typebox-helpers-ts-a9dca4e9a1	ai	source-contract	utils		Contract carried by packages/ai/src/utils/typebox-helpers.ts
pi-ai-source-contract-types-ts-4dacfa6687	ai	source-contract	types		Contract carried by packages/ai/src/types.ts
pi-ai-source-contract-types-ts-9fc030c160	ai	source-contract	auth		Contract carried by packages/ai/src/auth/types.ts
pi-ai-source-contract-types-ts-b1a42aae3a	ai	source-contract	utils		Contract carried by packages/ai/src/utils/oauth/types.ts
pi-ai-source-contract-validation-ts-cd667ddd7a	ai	source-contract	utils		Contract carried by packages/ai/src/utils/validation.ts
pi-ai-source-contract-vercel-ai-gateway-models-ts-863508470f	ai	source-contract	providers		Contract carried by packages/ai/src/providers/vercel-ai-gateway.models.ts
pi-ai-source-contract-vercel-ai-gateway-ts-0d00c2376f	ai	source-contract	providers		Contract carried by packages/ai/src/providers/vercel-ai-gateway.ts
pi-ai-source-contract-xai-models-ts-c84acf5e0e	ai	source-contract	providers		Contract carried by packages/ai/src/providers/xai.models.ts
pi-ai-source-contract-xai-ts-c592d6097b	ai	source-contract	providers		Contract carried by packages/ai/src/providers/xai.ts
pi-ai-source-contract-xiaomi-models-ts-f7fc2e6149	ai	source-contract	providers		Contract carried by packages/ai/src/providers/xiaomi.models.ts
pi-ai-source-contract-xiaomi-token-plan-ams-models-ts-afc0a304f5	ai	source-contract	providers		Contract carried by packages/ai/src/providers/xiaomi-token-plan-ams.models.ts
pi-ai-source-contract-xiaomi-token-plan-ams-ts-cb9cf7231c	ai	source-contract	providers		Contract carried by packages/ai/src/providers/xiaomi-token-plan-ams.ts
pi-ai-source-contract-xiaomi-token-plan-cn-models-ts-f5447499d7	ai	source-contract	providers		Contract carried by packages/ai/src/providers/xiaomi-token-plan-cn.models.ts
pi-ai-source-contract-xiaomi-token-plan-cn-ts-8c4ec93812	ai	source-contract	providers		Contract carried by packages/ai/src/providers/xiaomi-token-plan-cn.ts
